"id","ageGrp","sex","maritalStat","province","popCenter","eduLevel","feelRushed","extraTime","durSleep","durMealPrep","durEating","durAlone","durDriving","durWork","durSchoolSite","durSchoolOnline","durStudy","mainStudent","mainJobSearch","mainEmployed","mainWorked12m","mainWorkedWeek","enrollStat","dailyTexts","timeSlowDown","timeWorkaholic","timeNotFamFriends","timeWantAlone"
10457,4,2,"divorced",47,"urban",4,4,3,465,20,40,830,70,495,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,2
10460,6,1,"commonLaw",24,"urban",1,6,2,610,0,35,145,62,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
10462,4,1,"married",47,"rural",1,4,6,770,0,300,760,0,0,0,0,0,NA,NA,NA,1,1,NA,8,2,2,2,2
10464,4,2,"commonLaw",12,"urban",3,4,4,900,210,0,30,0,0,0,0,0,NA,NA,1,1,2,NA,1,2,2,1,2
10469,6,2,"married",24,"urban",6,4,6,570,60,145,415,45,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
10471,5,2,"divorced",24,"urban",2,4,6,595,0,195,1320,40,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2
10477,1,2,"neverMarried",11,"pei",1,4,6,550,0,50,755,80,0,320,0,30,1,2,1,1,2,1,3,2,1,2,2
10481,5,2,"widowed",47,"rural",3,6,6,540,40,0,1090,0,0,0,0,0,NA,2,2,2,2,NA,8,2,1,2,1
10484,5,2,"commonLaw",59,"urban",7,4,6,845,100,0,155,40,0,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,2
10491,3,2,"married",46,"urban",4,4,2,560,105,30,495,0,0,0,0,0,NA,2,1,1,2,NA,8,2,2,2,2
10502,5,1,"married",12,"urban",3,6,3,330,60,180,700,20,0,0,0,0,NA,2,2,2,2,NA,1,2,1,2,2
10503,7,2,"widowed",59,"urban",4,4,6,525,50,0,1025,105,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2
10509,7,2,"married",12,"urban",2,4,2,540,30,135,1125,30,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
10510,6,1,"married",35,"urban",3,6,1,690,0,165,735,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
10513,4,2,"neverMarried",13,"urban",4,5,5,510,150,60,1440,0,0,0,0,0,NA,NA,NA,1,1,NA,8,2,2,2,2
10531,6,2,"married",13,"rural",4,4,3,465,105,25,255,0,0,0,0,0,NA,2,2,2,2,NA,1,1,2,2,2
10534,6,1,"divorced",12,"urban",2,4,1,315,50,215,1300,0,0,0,0,0,NA,2,1,1,2,NA,8,1,2,2,2
10539,1,1,"neverMarried",24,"rural",1,6,3,360,0,40,500,0,0,300,0,40,1,2,2,2,2,1,5,2,2,2,2
10547,6,2,"divorced",35,"urban",NA,5,6,540,60,20,1440,0,0,0,0,0,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA
10550,5,2,"divorced",11,"pei",4,6,1,480,30,0,570,40,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
10552,6,1,"married",24,"urban",1,5,4,540,30,60,690,20,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,1
10554,6,2,"neverMarried",12,"urban",5,5,6,570,100,110,1005,0,0,0,0,0,NA,NA,NA,1,1,NA,8,2,2,2,2
10574,7,2,"married",10,"urban",2,4,6,690,10,35,155,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
10576,6,2,"neverMarried",24,"urban",6,4,6,505,45,30,1130,40,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2
10579,5,2,"married",35,"urban",6,6,3,480,120,60,120,10,0,0,0,0,NA,2,1,1,2,NA,6,2,2,2,2
10580,7,1,"married",35,"rural",7,6,1,540,15,0,1185,120,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2
10581,7,1,"married",35,"urban",6,6,6,570,30,135,210,100,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
10588,4,2,"neverMarried",46,"urban",2,4,1,390,0,0,450,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,1,2
10593,6,1,"separated",24,"urban",6,6,1,810,15,15,1320,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
10603,6,1,"divorced",24,"urban",NA,6,6,750,120,60,1440,0,0,0,0,0,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA
10606,5,2,"widowed",59,"urban",4,4,2,435,120,30,1440,0,0,0,0,0,NA,2,2,2,2,NA,2,2,2,1,2
10621,5,1,"married",35,"urban",4,5,4,330,0,20,560,110,605,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,2
10623,4,2,"divorced",35,"urban",4,6,3,540,60,60,1290,0,0,0,0,0,NA,2,2,2,2,NA,5,2,1,1,2
10625,7,1,"widowed",59,"urban",6,4,1,630,0,200,955,0,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2
10627,7,2,"widowed",35,"rural",1,6,2,410,0,50,1440,100,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
10631,6,2,"widowed",24,"urban",3,6,6,540,90,65,1440,0,0,0,0,0,NA,2,2,2,2,NA,1,2,1,2,2
10632,6,1,"married",35,"urban",3,4,4,450,70,120,830,80,0,0,0,0,NA,2,2,2,2,NA,1,2,1,2,2
10637,6,2,"married",12,"urban",2,6,4,535,150,150,170,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,1,1
10639,7,2,"widowed",47,"urban",1,5,6,480,30,20,1100,0,0,0,0,0,NA,2,2,2,2,NA,8,2,1,2,2
10643,2,1,"married",12,"urban",6,6,2,630,0,30,1055,85,0,0,0,0,NA,NA,NA,1,1,NA,3,2,2,2,2
10646,5,1,"divorced",59,"urban",6,4,2,510,210,60,220,160,0,0,0,0,NA,2,2,2,2,NA,1,2,2,1,1
10647,5,2,"widowed",35,"urban",2,6,6,540,20,0,1395,0,0,0,0,0,NA,NA,NA,1,1,NA,8,2,2,2,2
10651,7,1,"married",13,"urban",5,6,6,600,15,75,140,35,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
10652,7,2,"married",59,"urban",6,4,2,540,115,60,30,0,0,0,0,0,NA,2,2,2,2,NA,1,1,2,2,2
10658,5,2,"widowed",47,"urban",4,6,6,630,40,80,1270,50,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2
10663,6,2,"married",10,"urban",3,4,6,540,15,60,145,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
10669,6,1,"married",24,"urban",6,4,3,435,0,160,770,30,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
10670,7,2,"widowed",48,"urban",4,4,3,570,0,140,1440,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
10671,7,1,"married",24,"urban",5,4,6,600,60,180,0,30,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2
10680,5,2,"married",35,"urban",2,5,4,530,45,25,385,0,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2
10685,4,1,"married",48,"urban",2,6,4,495,65,60,200,40,300,0,0,0,NA,NA,NA,1,1,NA,2,1,2,2,2
10692,2,2,"commonLaw",47,"urban",2,4,4,555,40,60,640,20,0,0,0,0,NA,NA,NA,1,1,NA,2,2,2,2,2
10699,7,2,"married",35,"rural",4,4,3,600,0,45,795,45,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2
10708,3,2,"commonLaw",48,"urban",2,4,2,450,75,180,90,110,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2
10727,3,1,"married",10,"rural",6,6,1,495,10,15,1080,0,620,0,0,0,NA,NA,NA,1,1,NA,1,2,2,1,2
10732,5,1,"divorced",59,"urban",1,5,3,465,150,0,785,60,655,0,0,0,NA,NA,NA,1,1,NA,NA,2,2,2,2
10737,4,1,"married",13,"urban",2,6,4,660,75,115,0,0,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2
10740,1,1,"neverMarried",35,"urban",4,4,3,605,0,70,850,0,0,0,0,0,NA,NA,2,2,2,NA,2,2,2,2,2
10741,6,2,"widowed",35,"urban",2,4,4,390,60,30,1440,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
10745,7,2,"divorced",12,"urban",5,6,NA,390,165,135,330,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
10749,4,2,"commonLaw",24,"rural",2,4,2,650,105,60,115,0,0,0,0,0,NA,NA,1,1,2,NA,1,1,2,2,2
