,PUMFID,AGEGR10,SEX,MARSTAT,PRV,LUC_RST,EHG_ALL,GTU_110,GTU_130,DUR01,DUR05,DUR06,DURS200,DURL313,DUR08,DUR13,DUR14,DUR15,MRW_20,MRW_30,MRW_40,MRW_D40A,MRW_D40B,EDM_02,TST_01,TCS_110,TCS_120,TCS_150,TCS_200
4950,14950,5,2,5,59,1,5,2,4,480,0,125,970,95,0,0,0,0,6,6,6,1,1,6,1,2,2,1,2
4951,14951,2,2,6,12,1,6,3,3,405,15,60,490,0,555,0,0,0,6,6,6,1,1,6,4,2,2,2,2
4952,14952,6,2,5,10,2,1,6,1,540,15,45,1030,75,0,0,0,0,6,2,2,2,2,6,8,2,2,2,2
4953,14953,5,1,1,35,1,99,3,3,360,60,0,0,0,0,0,0,0,6,9,9,2,2,6,99,9,9,9,9
4954,14954,5,1,1,12,1,2,1,6,700,0,45,75,0,0,0,0,0,6,6,6,1,1,6,1,1,2,2,2
4955,14955,5,2,1,24,2,4,5,6,540,195,190,40,10,0,0,0,0,6,2,2,2,2,6,2,2,2,2,2
4956,14956,3,1,6,35,1,2,6,3,850,20,10,1440,0,0,0,0,0,6,2,2,2,2,6,8,2,1,2,2
4957,14957,1,2,1,48,2,1,1,6,675,145,70,525,0,0,0,0,0,6,2,2,2,2,6,1,1,1,1,2
4958,14958,5,1,1,46,1,3,2,5,445,0,0,110,100,540,0,0,0,6,6,6,1,1,6,1,2,2,2,1
4959,14959,5,2,1,47,2,4,1,1,570,0,190,610,35,330,0,0,0,6,6,6,1,1,2,1,2,2,2,2
4960,14960,2,1,6,24,1,3,2,4,420,50,20,1440,30,755,0,0,0,6,6,6,1,1,6,1,1,1,1,2
4961,14961,4,1,1,24,2,6,2,2,465,50,180,315,0,0,0,0,0,6,6,6,1,1,6,1,7,2,2,2
4962,14962,6,2,1,35,1,7,2,6,400,150,30,380,155,0,0,0,0,6,2,2,2,2,6,1,2,2,1,2
4963,14963,3,2,6,35,1,2,2,2,810,20,0,1170,0,0,0,0,0,6,2,2,2,2,6,1,2,2,2,2
4964,14964,2,2,1,10,1,7,3,1,180,10,120,20,0,0,0,0,0,6,2,1,1,2,2,1,2,2,2,1
4965,14965,2,1,6,48,1,5,2,4,390,20,80,700,290,0,0,0,0,6,6,6,1,1,6,2,2,2,2,2
4966,14966,6,1,6,12,1,2,3,6,700,20,40,1280,0,0,0,0,0,6,2,2,2,2,6,8,2,2,2,2
4967,14967,7,1,3,35,1,6,1,6,390,0,135,1170,0,150,0,0,0,6,2,2,2,2,6,8,2,1,2,2
4968,14968,6,2,3,24,1,6,2,6,555,0,115,1130,35,0,0,0,0,6,2,2,2,2,6,1,2,1,2,2
4969,14969,1,1,6,35,1,4,2,2,740,0,10,440,60,310,0,0,0,6,6,6,1,1,1,7,2,1,1,2
4970,14970,3,2,6,24,1,4,1,4,405,45,30,600,60,480,0,0,0,6,6,6,1,1,1,5,2,2,2,2
4971,14971,2,2,6,47,1,6,1,6,615,30,75,745,30,0,0,0,0,6,6,6,1,1,6,2,2,2,1,1
4972,14972,5,2,3,13,2,1,6,6,530,30,15,1275,60,0,0,0,0,6,2,2,2,2,6,8,2,2,2,2
4973,14973,7,2,3,35,1,3,2,4,450,0,140,1035,100,0,0,0,0,6,2,2,2,2,6,1,2,2,2,2
4974,14974,5,2,1,46,1,1,3,1,510,225,40,0,0,0,0,0,0,6,2,2,2,2,6,1,2,1,2,2
4975,14975,6,2,6,35,2,2,6,4,450,75,135,1220,70,0,0,0,0,6,2,2,2,2,6,1,2,2,2,2
4976,14976,5,2,1,35,1,3,2,6,540,180,0,60,0,0,0,0,0,6,2,1,1,2,6,8,2,2,2,2
4977,14977,4,2,1,35,1,7,1,6,510,70,30,370,70,0,0,0,90,6,2,2,2,2,6,1,2,2,2,2
4978,14978,5,1,1,46,2,6,3,2,510,0,10,550,270,0,0,0,0,6,6,6,1,1,6,8,2,2,2,2
4979,14979,4,2,1,12,1,2,2,2,690,120,70,795,0,0,0,0,0,6,2,1,1,2,6,1,2,2,1,1
4980,14980,3,1,1,35,1,7,2,6,390,0,45,240,0,630,0,0,0,6,6,6,1,1,6,1,2,2,2,1
4981,14981,2,2,6,12,1,6,2,3,395,30,65,640,0,455,0,0,0,6,6,6,1,1,6,3,2,2,2,2
4982,14982,1,1,6,35,1,2,2,6,390,0,270,1080,0,0,300,0,0,1,2,2,2,2,1,7,2,1,1,2
4983,14983,5,1,1,47,2,3,1,6,500,30,30,1410,0,90,0,0,0,6,6,6,1,1,6,1,2,2,2,2
4984,14984,1,2,2,35,1,2,3,3,540,0,0,610,0,350,0,0,0,6,6,6,1,1,6,5,2,2,2,2
4985,14985,7,1,1,59,1,3,5,6,515,70,210,550,40,0,0,0,0,6,2,2,2,2,6,1,2,2,2,2
4986,14986,6,2,1,35,1,4,4,2,240,65,90,865,0,580,0,0,0,6,6,6,1,1,6,8,1,2,2,1
4987,14987,5,2,2,35,1,4,6,3,495,30,135,150,0,0,0,0,0,6,2,2,2,2,6,2,2,2,2,1
4988,14988,6,1,4,12,1,6,4,4,600,0,90,1440,60,0,0,0,0,6,2,2,2,2,6,8,2,2,2,2
4989,14989,3,1,1,47,1,1,1,6,540,90,60,590,50,440,0,0,0,6,6,6,1,1,6,1,2,2,2,2
4990,14990,4,1,1,59,1,4,1,3,415,75,0,345,80,505,0,0,0,6,6,6,1,1,6,1,2,1,1,2
4991,14991,1,2,6,48,1,1,2,3,630,0,140,770,20,0,0,0,0,1,1,2,2,2,1,2,2,2,2,2
4992,14992,4,2,1,35,1,4,4,4,465,90,0,235,80,450,0,0,0,6,6,6,1,1,6,1,2,2,2,2
4993,14993,5,2,5,48,1,6,4,3,705,20,50,1440,20,0,0,0,0,6,6,1,1,2,6,1,2,2,1,2
4994,14994,3,2,1,24,1,4,2,2,555,15,50,520,40,0,0,0,0,6,6,6,1,1,6,8,2,2,1,2
4995,14995,4,2,1,24,1,7,1,6,540,15,115,130,100,270,0,0,0,6,6,6,1,1,6,3,1,1,2,2
4996,14996,3,2,1,48,2,6,2,6,690,90,120,120,0,0,0,0,0,6,6,6,1,1,6,1,2,2,2,2
4997,14997,2,1,2,12,1,4,2,5,465,75,20,525,40,450,0,0,0,6,6,6,1,1,6,3,2,2,1,2
4998,14998,6,2,1,24,1,2,3,4,410,120,120,730,0,0,0,0,0,6,2,2,2,2,6,8,2,2,2,2
4999,14999,4,1,6,35,1,4,2,6,1440,0,0,900,0,0,0,0,0,6,6,6,1,1,6,2,1,1,2,2
5000,15000,3,2,1,35,1,6,1,4,330,240,0,10,0,0,0,0,0,1,2,1,1,2,6,1,1,1,2,1
5001,15001,7,2,1,48,1,2,1,2,725,0,80,30,0,0,0,0,0,6,2,2,2,2,6,8,2,2,2,2
5002,15002,3,2,2,59,1,2,2,2,450,70,90,190,30,0,0,0,0,6,6,6,1,1,6,4,2,2,1,2
5003,15003,2,2,6,35,1,7,1,6,480,15,275,625,30,540,0,0,0,6,6,6,1,1,3,5,2,1,1,1
5004,15004,4,1,1,24,2,4,1,3,410,0,75,360,25,490,0,0,0,6,6,6,1,1,6,1,2,1,2,2
5005,15005,5,2,2,35,1,7,97,6,540,120,120,930,0,0,0,0,0,6,6,6,1,1,6,8,2,2,2,2
5006,15006,4,1,2,24,1,3,2,6,525,15,45,180,110,570,0,0,0,6,6,6,1,1,6,1,2,2,2,2
5007,15007,3,2,2,46,1,5,1,6,560,330,0,175,20,0,0,0,0,6,6,6,1,1,6,1,2,1,1,1
5008,15008,5,2,1,35,1,2,3,6,540,65,175,290,90,0,0,0,0,6,2,1,1,2,6,8,2,2,2,2
5009,15009,4,2,1,35,1,6,6,3,660,90,150,180,90,0,0,0,0,6,2,2,2,2,6,1,2,2,2,2
5010,15010,4,2,1,24,2,4,6,1,555,0,90,190,30,245,0,0,0,6,6,6,1,1,6,8,1,2,2,2
5011,15011,4,2,6,24,2,4,1,3,300,15,90,880,45,495,0,0,0,6,6,6,1,1,6,8,2,2,2,2
5012,15012,4,2,2,59,1,2,4,3,530,180,0,960,90,480,0,0,0,6,6,6,1,1,6,2,2,2,2,2
5013,15013,5,2,5,48,1,7,1,6,450,55,0,680,40,730,0,0,0,6,6,6,1,1,6,3,2,1,1,1
5014,15014,4,1,1,46,1,1,2,4,480,0,60,0,0,0,0,0,0,6,2,1,1,2,6,1,2,1,2,2
5015,15015,4,1,1,48,1,6,3,5,630,0,40,0,0,0,0,0,0,6,6,6,1,1,6,1,1,2,1,2
5016,15016,4,1,1,59,2,6,1,6,510,60,210,540,0,0,0,0,0,6,6,6,1,1,6,8,2,1,1,1
5017,15017,2,2,1,59,2,4,1,1,390,90,130,340,0,0,0,0,0,6,2,1,1,2,6,7,2,2,2,2
5018,15018,6,2,1,24,1,4,3,6,440,225,210,400,0,0,0,0,0,6,2,1,1,2,2,8,2,2,2,2
5019,15019,5,2,4,10,1,2,1,3,450,15,75,675,0,0,0,0,0,6,2,2,2,2,6,2,1,1,1,1
5020,15020,3,2,1,35,1,6,2,6,510,150,30,60,0,0,0,0,0,6,6,6,1,1,2,5,2,2,1,1
5021,15021,5,2,3,48,1,2,2,5,550,105,0,1110,90,0,0,0,0,6,2,2,2,2,6,1,2,2,2,2
5022,15022,7,2,3,35,1,2,2,3,375,30,60,1050,195,0,0,0,0,6,2,2,2,2,6,2,2,2,2,2
5023,15023,5,2,1,59,1,2,1,5,750,0,0,0,0,0,0,0,0,6,2,2,2,2,6,1,1,1,1,2
5024,15024,1,1,6,13,2,4,4,2,345,0,75,630,0,760,0,0,0,6,6,6,1,1,6,3,1,2,2,2
5025,15025,6,1,1,24,1,3,2,6,620,20,125,250,80,0,0,0,0,6,2,2,2,2,6,8,1,1,2,2
5026,15026,2,2,2,10,2,4,1,6,670,120,0,315,50,0,0,60,140,6,2,1,1,2,6,1,2,2,2,2
5027,15027,2,2,6,24,1,4,2,3,485,0,90,1170,0,0,0,0,0,6,6,6,1,1,1,2,2,2,1,2
5028,15028,2,2,2,13,2,6,2,3,540,60,60,165,10,505,0,0,0,6,6,6,1,1,6,6,2,2,2,2
5029,15029,5,1,1,24,2,2,2,4,510,15,45,0,70,450,0,0,0,6,6,6,1,1,6,8,2,2,2,2
5030,15030,5,2,6,24,2,6,6,6,675,30,150,1440,0,0,0,0,0,6,6,6,1,1,6,1,2,2,2,2
5031,15031,2,2,4,24,1,3,2,6,465,60,50,795,0,360,0,0,0,6,6,6,1,1,6,7,1,1,2,1
5032,15032,4,1,1,35,1,99,2,6,510,0,20,620,40,580,0,0,0,6,9,9,2,2,6,99,2,1,1,1
5033,15033,7,2,1,35,1,7,3,6,420,90,185,595,20,0,0,0,0,6,2,2,2,2,6,1,2,2,2,2
5034,15034,1,2,6,35,1,6,1,3,570,20,40,695,85,420,0,0,0,6,6,6,1,1,6,2,2,1,2,2
5035,15035,7,2,5,47,1,2,6,5,430,75,20,985,0,0,0,0,0,6,2,2,2,2,6,8,2,2,2,2
5036,15036,6,1,1,24,1,3,4,6,330,70,60,795,60,0,0,0,0,6,6,6,1,1,6,8,2,2,2,2
5037,15037,3,2,1,59,1,6,2,6,630,30,45,90,30,0,0,0,0,6,6,6,1,1,6,1,1,2,2,2
5038,15038,4,1,6,24,2,1,1,1,0,480,0,1440,0,0,0,0,0,6,6,2,2,2,6,1,2,1,2,2
5039,15039,4,2,1,35,1,6,2,6,450,45,90,180,65,465,0,0,0,6,6,6,1,1,6,2,1,2,2,1
5040,15040,5,1,1,12,1,1,6,2,645,30,90,495,0,0,0,0,0,6,2,2,2,2,6,8,2,2,2,1
5041,15041,6,1,1,24,1,5,6,6,540,0,65,105,70,455,0,0,0,6,6,6,1,1,6,1,1,1,2,2
5042,15042,3,2,2,24,1,6,2,6,1230,75,120,480,0,0,0,0,0,6,2,1,1,2,6,1,2,1,2,1
5043,15043,4,2,1,46,1,6,2,2,600,180,0,375,0,0,0,0,0,6,6,1,1,2,6,2,2,2,1,1
5044,15044,5,2,1,59,2,2,4,1,585,20,115,540,0,0,0,0,0,6,2,1,1,2,6,8,2,2,2,2
5045,15045,2,2,6,12,1,4,1,4,440,45,90,940,110,440,0,0,0,6,1,1,1,2,6,5,2,2,1,2
5046,15046,5,2,1,48,1,4,2,3,375,0,30,315,110,420,0,0,0,6,6,6,1,1,6,1,2,2,2,2
5047,15047,3,1,1,59,1,6,1,1,510,60,0,0,135,480,0,0,0,6,6,6,1,1,6,3,2,2,1,1
5048,15048,3,2,6,35,1,2,2,2,870,0,130,1120,0,0,0,0,0,6,6,6,1,1,6,8,2,2,2,2
5049,15049,5,1,2,59,1,3,1,5,480,30,105,690,120,465,0,0,0,6,6,6,1,1,6,2,1,2,1,2
5050,15050,7,2,3,24,1,1,3,6,420,0,285,630,0,0,0,0,0,6,2,2,2,2,6,8,2,2,2,2
5051,15051,7,2,3,10,1,4,3,4,600,30,60,1120,0,0,0,0,0,6,2,2,2,2,6,8,2,2,2,2
5052,15052,7,2,2,24,1,4,5,6,565,60,95,690,0,0,0,0,0,6,2,2,2,2,6,8,2,2,2,2
5053,15053,6,2,1,24,1,5,4,4,615,75,105,120,0,0,0,0,0,6,1,1,1,2,6,1,2,2,2,2
5054,15054,5,2,3,47,2,1,1,6,330,1020,0,330,0,0,0,0,0,6,6,6,1,1,6,2,1,1,1,2
5055,15055,3,1,1,24,1,7,3,6,650,40,30,325,215,0,0,0,0,6,6,6,1,1,6,1,2,1,2,2
5056,15056,1,2,6,24,1,1,2,6,310,0,20,105,15,0,0,0,0,6,6,6,1,1,6,1,1,2,2,1
5057,15057,5,2,2,59,1,2,4,3,420,30,135,810,0,0,0,0,0,6,6,6,1,1,6,8,2,2,2,2
5058,15058,5,1,1,13,2,4,1,6,540,0,100,765,120,570,0,0,0,6,6,6,1,1,6,3,2,2,2,2
5059,15059,1,2,6,24,1,2,2,3,570,0,30,690,0,0,180,0,0,6,6,6,1,1,1,7,2,2,2,2
5060,15060,5,2,1,10,2,2,2,2,425,75,90,325,0,0,0,0,0,6,2,2,2,2,6,1,1,2,2,2
5061,15061,2,1,6,24,1,4,1,6,300,0,105,300,45,630,0,0,0,6,6,6,1,1,6,6,2,2,1,2
5062,15062,5,2,5,46,1,6,6,6,600,0,380,1440,0,0,0,0,0,6,2,2,2,2,6,8,2,2,1,2
5063,15063,5,1,1,24,1,1,1,6,510,90,60,300,0,0,0,0,0,6,2,1,1,2,6,8,1,2,2,2
5064,15064,5,2,1,59,1,99,1,6,605,80,0,80,90,0,0,0,0,6,9,9,2,2,6,99,9,9,9,9
5065,15065,6,1,1,24,2,3,4,4,540,0,180,420,0,0,0,0,0,6,2,2,2,2,6,8,2,2,2,2
5066,15066,5,2,4,24,1,1,6,2,555,135,185,1215,0,0,0,0,0,6,2,2,2,2,6,8,2,2,2,2
5067,15067,7,2,3,59,1,2,6,6,930,0,105,1250,0,0,0,0,0,6,2,2,2,2,6,8,2,2,2,2
5068,15068,3,2,1,35,1,2,1,6,480,95,125,605,85,320,0,0,0,6,6,6,1,1,6,1,2,1,2,2
5069,15069,4,1,2,24,1,6,1,6,510,45,60,185,30,600,0,0,0,6,6,6,1,1,6,1,2,1,2,2
5070,15070,6,1,1,13,1,6,2,2,660,30,150,60,60,0,0,0,0,6,2,2,2,2,6,1,2,2,1,2
5071,15071,3,1,4,35,1,4,2,2,300,60,20,0,590,0,0,0,0,6,6,6,1,1,6,2,1,2,2,2
5072,15072,5,2,1,13,1,4,2,3,360,0,0,600,70,450,0,0,0,6,6,6,1,1,6,1,2,1,2,1
5073,15073,5,1,5,59,1,4,2,5,495,0,30,780,40,0,0,0,0,6,6,6,1,1,6,1,2,2,2,2
5074,15074,2,1,6,35,1,4,1,6,630,10,30,870,0,0,0,0,0,6,6,6,1,1,6,1,2,1,1,2
5075,15075,3,2,1,35,1,6,1,5,335,110,115,45,70,0,0,0,0,6,1,1,1,2,6,3,7,2,1,2
5076,15076,5,2,3,13,1,4,6,1,630,85,10,1295,130,0,0,0,0,6,6,6,1,1,6,8,1,2,1,2
5077,15077,5,1,1,35,2,4,2,4,490,0,0,635,60,0,0,0,0,6,2,1,1,2,6,1,2,1,2,2
5078,15078,6,2,1,13,2,1,1,4,360,60,15,540,40,660,0,0,0,6,6,6,1,1,6,8,1,1,1,2
5079,15079,5,1,2,35,1,6,3,3,120,0,0,30,30,1230,0,0,0,6,6,6,1,1,6,1,2,2,2,2
5080,15080,4,1,5,35,1,7,2,4,630,30,0,1260,20,0,0,0,0,6,6,6,1,1,6,4,2,2,1,2
5081,15081,2,1,6,48,1,2,2,2,650,0,0,1080,0,0,0,0,0,6,6,1,1,2,6,4,2,2,2,2
5082,15082,3,2,5,24,1,2,1,6,450,65,60,155,70,0,0,0,0,6,1,2,2,2,6,2,2,2,2,1
5083,15083,6,2,3,35,1,5,2,6,410,15,105,1145,145,0,0,0,0,6,6,6,1,1,6,1,2,2,2,2
5084,15084,1,1,6,48,1,1,2,2,595,0,0,540,0,0,410,0,120,1,2,1,1,2,1,7,1,2,2,1
5085,15085,2,2,2,35,1,4,2,2,660,170,0,15,30,0,0,0,0,6,6,6,1,1,6,6,2,2,1,2
5086,15086,1,2,6,59,1,2,4,3,480,0,80,840,0,0,120,0,240,1,2,2,2,2,1,4,2,2,2,2
5087,15087,7,2,1,59,1,1,2,6,510,270,60,0,0,0,0,0,0,6,2,2,2,2,6,8,2,2,2,2
5088,15088,5,1,3,35,1,2,6,1,660,0,30,1080,0,0,0,0,0,6,2,1,1,2,6,1,2,2,2,2
5089,15089,6,2,1,35,1,7,3,6,420,0,30,225,90,0,0,0,0,6,2,2,2,2,6,1,2,2,2,2
5090,15090,5,1,1,46,1,7,6,2,530,90,240,570,120,0,0,0,0,6,2,2,2,2,6,8,2,2,2,2
5091,15091,2,2,6,12,1,2,2,4,420,0,140,320,0,0,0,0,0,6,2,2,2,2,6,5,1,1,1,2
5092,15092,2,1,6,48,2,4,1,5,385,35,0,240,240,600,0,0,0,6,6,6,1,1,2,2,2,1,1,2
5093,15093,4,1,1,59,1,7,1,6,560,50,30,440,0,260,0,0,0,6,6,6,1,1,6,1,2,2,2,1
5094,15094,7,2,4,59,1,99,5,6,570,0,175,1225,45,0,0,0,0,6,6,6,1,1,6,8,2,1,2,2
5095,15095,3,2,1,12,1,6,1,6,525,60,30,135,15,0,0,0,0,6,6,6,1,1,6,8,2,1,1,2
5096,15096,6,1,1,47,2,6,6,3,510,240,150,340,130,0,0,0,0,6,2,2,2,2,6,1,2,2,2,2
5097,15097,6,1,1,59,1,7,5,6,600,20,240,300,0,0,0,0,0,6,2,2,2,2,6,1,2,2,2,2
5098,15098,3,1,1,35,1,7,1,4,510,0,120,75,0,555,0,0,0,6,6,6,1,1,6,1,2,2,1,1
5099,15099,1,1,6,59,1,1,1,2,480,20,100,760,0,0,325,0,90,1,2,1,1,2,1,6,2,2,2,1
5100,15100,4,2,1,48,1,6,6,3,480,0,180,390,0,0,0,0,0,6,6,6,1,1,6,1,1,1,2,1
5101,15101,7,2,3,10,2,2,6,6,630,45,75,690,0,0,0,0,0,6,2,2,2,2,6,8,2,2,2,2
5102,15102,4,1,6,10,1,3,1,2,505,0,85,875,25,0,0,0,0,6,6,6,1,1,6,1,2,2,2,2
5103,15103,4,2,1,59,1,99,2,6,310,0,20,90,80,0,0,0,0,6,9,9,2,2,6,99,9,9,9,9
5104,15104,4,1,5,35,1,2,1,6,440,15,0,370,25,620,0,0,0,6,6,6,1,1,6,1,2,1,2,1
5105,15105,6,2,1,35,1,2,6,2,840,0,600,0,0,0,0,0,0,6,2,2,2,2,6,1,2,2,2,2
5106,15106,7,2,3,35,1,6,1,6,475,0,50,1225,0,0,0,0,0,6,2,2,2,2,6,8,2,2,2,2
5107,15107,6,2,1,24,1,1,6,1,420,60,90,0,0,0,0,0,0,6,2,2,2,2,6,8,2,2,2,2
5108,15108,6,1,1,48,1,2,4,2,385,75,100,725,100,0,0,0,0,6,6,6,1,1,6,8,1,2,2,2
5109,15109,5,1,1,59,1,2,1,3,720,60,120,300,0,0,0,0,0,6,6,6,1,1,6,1,1,2,2,1
5110,15110,3,2,2,35,1,4,2,3,710,60,60,130,0,0,0,0,0,6,6,6,1,1,6,1,2,7,1,1
5111,15111,2,1,2,24,1,1,1,6,570,90,75,610,0,140,0,0,0,6,6,6,1,1,6,2,2,2,1,2
5112,15112,5,2,6,35,1,2,1,5,510,120,0,1170,60,480,0,0,0,6,6,6,1,1,6,7,2,2,1,1
5113,15113,6,2,1,35,1,1,1,2,420,0,30,870,60,0,0,0,0,6,2,2,2,2,6,8,1,1,1,2
5114,15114,3,2,6,35,1,4,4,2,60,0,60,960,30,0,0,0,0,6,2,2,2,2,6,1,2,2,2,2
5115,15115,6,2,1,35,1,5,3,6,435,90,0,360,15,0,0,0,0,6,2,1,1,2,6,1,2,2,2,2
5116,15116,3,2,1,59,1,6,1,6,450,110,220,215,65,75,0,0,0,6,6,6,1,1,6,2,2,1,1,2
5117,15117,7,1,1,48,2,3,1,6,1055,0,95,120,0,0,0,0,0,6,2,2,2,2,6,8,2,2,2,2
5118,15118,2,1,1,46,1,2,3,2,360,10,0,150,75,0,0,0,0,6,6,6,1,1,6,3,2,2,2,2
5119,15119,7,1,6,46,1,99,3,97,540,210,0,1440,0,0,0,0,0,6,9,9,2,2,6,99,2,2,9,9
5120,15120,3,1,1,48,2,2,1,6,430,30,75,0,180,0,0,0,0,6,6,6,1,1,6,2,2,1,1,2
5121,15121,4,2,1,59,1,5,2,3,540,60,45,510,0,0,0,0,0,6,6,6,1,1,6,1,2,2,2,2
5122,15122,6,1,5,48,1,4,2,6,1015,70,90,1440,30,0,0,0,0,6,2,2,2,2,6,8,2,2,2,2
5123,15123,5,2,1,24,1,7,1,6,655,0,30,965,85,300,0,0,0,6,6,6,1,1,6,8,2,1,2,2
5124,15124,1,2,6,59,1,2,2,6,420,0,75,920,0,420,0,0,180,6,6,6,1,1,2,6,2,1,2,2
5125,15125,2,2,1,48,2,98,1,6,420,150,150,0,0,0,0,0,0,6,2,2,2,2,6,8,2,2,2,2
5126,15126,7,1,1,48,1,6,5,6,630,0,0,330,0,0,0,0,0,6,2,2,2,2,6,8,2,2,2,2
5127,15127,4,1,1,46,2,4,2,2,705,0,60,40,10,180,0,0,0,6,6,6,1,1,6,1,2,2,2,2
5128,15128,2,2,1,35,1,5,1,6,470,180,0,105,95,480,0,0,0,6,2,1,1,2,6,3,2,2,2,2
5129,15129,4,2,1,46,1,2,2,3,715,60,30,370,0,0,0,0,0,6,6,2,2,2,6,2,2,2,2,2
5130,15130,2,2,2,12,1,5,1,5,450,80,30,180,0,570,0,0,0,6,6,6,1,1,6,2,2,2,2,2
5131,15131,2,1,1,35,1,4,1,6,345,45,30,115,95,570,0,0,0,6,6,6,1,1,6,5,2,2,1,2
5132,15132,1,1,6,24,1,2,2,4,650,0,50,415,20,340,0,0,310,1,2,1,1,2,1,4,2,1,2,1
5133,15133,3,1,6,13,2,3,4,4,810,0,30,1440,0,0,0,0,0,6,6,2,2,2,6,8,1,2,2,2
5134,15134,7,2,3,46,1,1,6,6,570,90,0,1290,0,0,0,0,0,6,2,2,2,2,6,8,2,2,2,2
5135,15135,7,1,5,48,2,3,6,1,580,90,60,1440,20,0,0,0,0,6,2,2,2,2,6,8,2,2,2,2
5136,15136,4,1,1,35,1,4,2,6,495,95,45,375,100,0,0,0,0,6,6,6,1,1,6,1,1,2,2,1
5137,15137,4,1,1,12,1,6,1,3,540,0,30,50,50,640,0,0,0,6,6,6,1,1,6,8,2,1,2,2
5138,15138,2,2,6,24,1,4,1,3,530,0,515,60,130,0,0,0,0,6,6,1,1,2,6,5,2,2,2,2
5139,15139,5,2,6,24,1,7,1,6,580,30,40,1300,75,0,0,0,0,6,6,6,1,1,6,1,1,1,2,2
5140,15140,6,2,1,47,1,1,3,3,570,170,0,520,0,0,0,0,0,6,2,2,2,2,6,8,7,2,1,2
5141,15141,4,2,4,46,1,1,1,4,740,0,0,525,10,0,0,0,0,6,2,2,2,2,6,1,7,2,1,2
5142,15142,5,1,6,24,1,3,4,6,930,75,30,1440,0,0,0,0,0,6,6,6,1,1,6,8,2,1,2,2
5143,15143,5,1,2,59,2,6,2,4,510,0,70,1410,40,700,0,0,0,6,6,6,1,1,6,8,2,1,1,2
5144,15144,7,1,1,59,2,7,6,3,540,60,95,0,55,0,0,0,0,6,2,2,2,2,6,8,2,2,2,2
5145,15145,2,1,2,48,1,99,2,3,660,60,90,1050,0,105,0,0,0,6,6,6,1,1,6,1,2,2,2,2
5146,15146,5,2,5,35,1,4,5,6,300,0,60,780,0,0,0,0,0,6,2,1,1,2,6,1,2,2,2,2
5147,15147,2,1,6,10,1,2,3,6,360,0,0,390,0,480,0,0,0,6,6,6,1,1,6,2,2,2,1,2
5148,15148,6,1,1,24,1,6,5,6,530,0,180,460,30,0,0,0,0,6,2,2,2,2,6,1,2,2,1,2
5149,15149,3,1,1,48,2,3,2,3,540,120,120,0,0,0,0,0,0,6,6,6,1,1,6,3,2,2,2,2
5150,15150,7,2,1,35,1,4,6,4,555,60,165,515,20,0,0,0,0,6,2,2,2,2,6,8,2,2,2,2
5151,15151,6,1,1,13,1,7,6,3,565,15,240,275,90,0,0,0,0,6,2,2,2,2,6,1,2,2,2,2
5152,15152,5,1,1,10,2,1,2,1,825,150,30,300,0,0,0,0,0,6,2,2,2,2,6,8,2,2,2,2
5153,15153,4,1,1,35,1,3,1,2,490,30,100,185,110,450,0,0,0,6,6,6,1,1,6,5,2,2,2,2
5154,15154,7,2,1,46,1,1,6,6,540,135,30,360,0,0,0,0,0,6,2,2,2,2,6,8,1,2,2,2
5155,15155,5,2,5,59,1,2,6,4,500,30,195,930,15,0,0,0,0,6,2,2,2,2,6,8,2,2,2,2
5156,15156,5,2,1,35,1,4,1,6,450,15,135,480,0,0,0,0,0,6,6,6,1,1,6,7,2,1,1,2
5157,15157,2,2,1,48,1,4,1,6,420,150,60,0,0,0,0,0,0,6,2,2,2,2,6,2,7,7,1,1
5158,15158,1,2,6,35,1,2,2,2,500,0,0,585,35,0,0,0,0,1,2,2,2,2,1,6,2,2,2,2
5159,15159,6,1,3,13,2,1,6,1,380,25,65,965,40,0,0,0,0,6,2,2,2,2,6,8,1,2,2,2
5160,15160,2,2,1,24,2,4,1,5,480,30,0,30,0,680,0,90,0,6,6,6,1,1,2,1,2,2,1,1
5161,15161,2,2,6,35,1,7,2,5,540,0,110,240,110,0,0,0,0,6,6,6,1,1,1,2,2,1,2,1
5162,15162,7,1,3,24,2,1,6,6,480,0,75,1360,30,0,0,0,0,6,2,2,2,2,6,8,2,2,2,2
5163,15163,1,2,2,24,1,4,1,6,450,0,0,380,115,480,0,0,0,6,6,6,1,1,6,1,2,1,1,2
5164,15164,4,2,1,35,1,2,3,4,480,0,80,755,70,525,0,0,0,6,6,6,1,1,6,6,2,2,2,2
5165,15165,4,2,2,24,2,1,3,4,405,90,20,645,30,0,0,0,0,6,6,1,1,2,6,8,2,2,2,2
5166,15166,2,2,1,24,1,6,2,6,650,95,20,50,0,0,0,0,0,6,6,1,1,2,6,1,2,2,2,2
5167,15167,3,1,1,47,1,7,6,4,570,10,0,1285,50,505,0,0,0,6,6,6,1,1,6,1,2,2,2,2
5168,15168,1,2,6,59,1,5,3,1,600,115,110,480,135,0,0,0,0,6,2,1,1,2,6,3,2,2,2,2
5169,15169,2,1,1,35,1,99,1,6,600,120,0,420,60,420,0,0,0,6,9,9,2,2,6,99,9,9,9,9
5170,15170,7,2,3,35,2,1,3,6,510,45,0,1250,170,0,0,0,0,6,2,2,2,2,6,8,2,1,2,2
5171,15171,4,2,1,47,2,3,1,6,410,0,10,800,50,710,0,0,0,6,6,6,1,1,6,1,2,1,2,2
