"id","ageGrp","sex","maritalStat","province","popCenter","eduLevel","feelRushed","extraTime","durSleep","durMealPrep","durEating","durAlone","durDriving","durWork","durShoolSite","durSchoolOnline","durStudy","MRW_20","MRW_30","MRW_40","worked12m","workedWeek","enrollStat","dailyTexts","timeSlowDown","timeWorkaholic","timeNotFamFriends","timeWantAlone","province_char","maritalStat_char","eduLevel_char","isFeelRushed"
22156,3,2,2,35,1,4,1,6,540,0,0,0,0,0,0,0,0,NA,2,1,1,2,NA,2,2,1,1,2,"ON","Living common-law","College, CEGEP, or other non-university certificate or dimploma",1
22157,4,1,1,35,1,4,1,2,460,70,30,165,45,575,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,2,"ON","Married","College, CEGEP, or other non-university certificate or dimploma",1
22158,5,2,1,59,2,4,1,6,475,30,30,280,65,505,0,0,0,NA,NA,NA,1,1,NA,3,2,2,2,2,"BC","Married","College, CEGEP, or other non-university certificate or dimploma",1
22159,6,1,5,24,2,2,5,5,630,90,60,1140,40,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2,"QC","Divorced","High school diploma or equivalency",0
22160,5,1,1,35,2,3,2,6,540,0,60,1410,30,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2,"ON","Married","Trade certificate or diploma",1
22161,3,1,1,35,1,4,1,2,510,30,30,0,0,0,0,0,0,NA,2,1,1,2,NA,1,2,1,1,1,"ON","Married","College, CEGEP, or other non-university certificate or dimploma",1
22162,5,2,2,24,1,3,6,1,480,90,120,120,0,0,0,0,0,NA,NA,NA,1,1,NA,8,2,2,2,2,"QC","Living common-law","Trade certificate or diploma",0
22163,4,2,5,59,2,1,6,5,480,240,30,690,40,0,0,0,0,NA,2,2,2,2,NA,4,2,2,2,2,"BC","Divorced","Less than high school dimploma or its equivalent",0
22164,5,1,5,35,1,5,2,6,480,130,70,1440,0,0,0,0,0,NA,NA,NA,1,1,NA,8,2,2,2,2,"ON","Divorced","University certificate or dimploma below the bachelor's level",1
22165,3,1,2,13,1,2,1,3,380,0,110,130,120,525,0,0,0,NA,NA,NA,1,1,NA,8,2,2,1,1,"NB","Living common-law","High school diploma or equivalency",1
22166,4,1,1,59,1,1,1,5,660,60,35,1260,0,0,0,0,0,NA,1,1,1,2,NA,4,2,2,2,1,"BC","Married","Less than high school dimploma or its equivalent",1
22167,3,1,1,59,1,7,1,6,450,0,15,190,55,620,0,0,0,NA,NA,NA,1,1,NA,1,2,2,1,1,"BC","Married","University certificate, diploma, degree above the BA level",1
22168,6,2,3,12,1,3,6,6,475,150,0,1380,20,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2,"NS","Widowed","Trade certificate or diploma",0
22169,1,2,6,11,3,2,2,5,745,10,30,1000,55,0,0,0,0,NA,2,1,1,2,1,4,2,1,2,2,"PEI","Single, never married","High school diploma or equivalency",1
22170,2,2,2,59,1,4,3,2,570,30,30,0,0,0,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,2,"BC","Living common-law","College, CEGEP, or other non-university certificate or dimploma",1
22171,6,1,1,35,1,3,3,1,600,150,0,555,0,0,0,0,0,NA,2,2,2,2,NA,8,1,2,1,2,"ON","Married","Trade certificate or diploma",1
22172,5,2,1,35,1,2,4,4,570,150,60,150,0,0,0,0,0,NA,2,2,2,2,NA,1,1,2,2,2,"ON","Married","High school diploma or equivalency",0
22173,5,2,6,35,1,2,1,6,390,30,75,1120,0,480,0,0,0,NA,NA,NA,1,1,NA,8,1,2,1,2,"ON","Single, never married","High school diploma or equivalency",1
22174,3,1,1,13,1,3,3,2,450,20,10,510,40,665,0,0,0,NA,NA,NA,1,1,NA,1,2,1,2,2,"NB","Married","Trade certificate or diploma",1
